"Week","Date","Fuel","Variable","Value","Unit","Status"
"2006w13",2006-03-31,"Premium Petrol 95R","Taxes",47.665,"NZD c/L","Final"
"2006w13",2006-03-31,"Premium Petrol 95R","Board price",160.9,"NZD c/L","Final"
"2006w13",2006-03-31,"Premium Petrol 95R","Adjusted retail price",160.9,"NZD c/L","Final"
"2006w13",2006-03-31,"Premium Petrol 95R","Importer margin",11.89765079,"NZD c/L","Final"
"2006w13",2006-03-31,"Premium Petrol 95R","Importer margin trend",11.9945996195293,"NZD c/L","Final"
"2006w14",2006-04-07,"NA","Dubai crude price",61.13,"USD/bbl","Final"
"2006w14",2006-04-07,"NA","Dubai crude price",100.02,"NZD/bbl","Final"
"2006w14",2006-04-07,"NA","Exchange rate",0.611,"USD/NZD","Final"
"2006w14",2006-04-07,"Diesel","Importer cost",89.7,"NZD c/L","Final"
"2006w14",2006-04-07,"Diesel","Price excluding tax",103.6,"NZD c/L","Final"
"2006w14",2006-04-07,"Diesel","ETS",0,"NZD c/L","Final"
"2006w14",2006-04-07,"Diesel","GST",13,"NZD c/L","Final"
"2006w14",2006-04-07,"Diesel","Taxes",0.300000000000001,"NZD c/L","Final"
"2006w14",2006-04-07,"Diesel","Board price",116.9,"NZD c/L","Final"
"2006w14",2006-04-07,"Diesel","Adjusted retail price",116.9,"NZD c/L","Final"
"2006w14",2006-04-07,"Diesel","Importer margin",16.4,"NZD c/L","Final"
"2006w14",2006-04-07,"Diesel","Importer margin trend",14.996026899028,"NZD c/L","Final"
"2006w14",2006-04-07,"Regular Petrol","Importer cost",79.1,"NZD c/L","Final"
"2006w14",2006-04-07,"Regular Petrol","Price excluding tax",90.5,"NZD c/L","Final"
"2006w14",2006-04-07,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2006w14",2006-04-07,"Regular Petrol","GST",17.4,"NZD c/L","Final"
"2006w14",2006-04-07,"Regular Petrol","Taxes",48.3,"NZD c/L","Final"
"2006w14",2006-04-07,"Regular Petrol","Board price",156.2,"NZD c/L","Final"
"2006w14",2006-04-07,"Regular Petrol","Adjusted retail price",156.2,"NZD c/L","Final"
"2006w14",2006-04-07,"Regular Petrol","Importer margin",14.1,"NZD c/L","Final"
