date,election_year,pollster,sample_size,Labour,National,NewLabour,Alliance,NZ First,ACT,United Future,Green,Progressive,Te Pāti Māori,Mana,Conservative,InternetMana,TOP,incumbent,incumbent_support,gdp_real,gdp_growth_qoq,gdp_growth_yoy,gdp_per_capita,inflation_yoy,food_inflation,housing_inflation,petrol_inflation,gdp_real_lag1,gdp_growth_qoq_lag1,gdp_growth_yoy_lag1,gdp_per_capita_lag1,inflation_yoy_lag1,food_inflation_lag1,housing_inflation_lag1,petrol_inflation_lag1,gdp_real_lag2,gdp_growth_qoq_lag2,gdp_growth_yoy_lag2,gdp_per_capita_lag2,inflation_yoy_lag2,food_inflation_lag2,housing_inflation_lag2,petrol_inflation_lag2,gdp_real_lag4,gdp_growth_qoq_lag4,gdp_growth_yoy_lag4,gdp_per_capita_lag4,inflation_yoy_lag4,food_inflation_lag4,housing_inflation_lag4,petrol_inflation_lag4
1992-11-07,1993,,,40.0,30.0,,28.0,,,,,,,,,,,National,30.0,27103.0,-1.9,-0.6488269794721391,7666.0,0.9683097502621196,0.43290039828727256,,3.5032048212184863,27631.0,0.9,2.8245013396844376,7829.0,0.9717314755191442,-0.7826087602724074,,1.974758975757518,27387.0,0.4,0.9249705188679291,7777.0,0.7957560521856477,-0.9540330082239423,,-3.5189247015023684,27280.0,1.5,-1.6972361356347498,7795.0,2.1582733773161777,0.08665510571699286,,3.311041270036341
1992-12-05,1993,,,36.0,29.0,,33.0,,,,,,,,,,,National,29.0,27103.0,-1.9,-0.6488269794721391,7666.0,0.9683097502621196,0.43290039828727256,,3.5032048212184863,27631.0,0.9,2.8245013396844376,7829.0,0.9717314755191442,-0.7826087602724074,,1.974758975757518,27387.0,0.4,0.9249705188679291,7777.0,0.7957560521856477,-0.9540330082239423,,-3.5189247015023684,27280.0,1.5,-1.6972361356347498,7795.0,2.1582733773161777,0.08665510571699286,,3.311041270036341
1993-02-06,1993,,,43.0,33.0,,22.0,,,,,,,,,,,National,33.0,27460.0,1.3,0.6967363403006965,7744.0,1.3215859520167905,1.7497812664566403,,2.943301916207064,27103.0,-1.9,-0.6488269794721391,7666.0,0.9683097502621196,0.43290039828727256,,3.5032048212184863,27631.0,0.9,2.8245013396844376,7829.0,0.9717314755191442,-0.7826087602724074,,1.974758975757518,27270.0,0.0,-3.349282296650713,7768.0,0.9786477142144312,-0.8673027463068195,,-6.656247582351327
1993-03-06,1993,,,46.0,28.0,,22.0,,,,,,,,,,,National,28.0,27460.0,1.3,0.6967363403006965,7744.0,1.3215859520167905,1.7497812664566403,,2.943301916207064,27103.0,-1.9,-0.6488269794721391,7666.0,0.9683097502621196,0.43290039828727256,,3.5032048212184863,27631.0,0.9,2.8245013396844376,7829.0,0.9717314755191442,-0.7826087602724074,,1.974758975757518,27270.0,0.0,-3.349282296650713,7768.0,0.9786477142144312,-0.8673027463068195,,-6.656247582351327
1993-04-03,1993,,,48.0,30.0,,19.0,,,,,,,,,,,National,30.0,28037.0,2.1,2.373388834118373,7879.0,0.9649121719802256,2.714535942614882,,3.8970456500060813,27460.0,1.3,0.6967363403006965,7744.0,1.3215859520167905,1.7497812664566403,,2.943301916207064,27103.0,-1.9,-0.6488269794721391,7666.0,0.9683097502621196,0.43290039828727256,,3.5032048212184863,27387.0,0.4,0.9249705188679291,7777.0,0.7957560521856477,-0.9540330082239423,,-3.5189247015023684
1993-05-01,1993,,,45.0,29.0,,21.0,,,,,,,,,,,National,29.0,28037.0,2.1,2.373388834118373,7879.0,0.9649121719802256,2.714535942614882,,3.8970456500060813,27460.0,1.3,0.6967363403006965,7744.0,1.3215859520167905,1.7497812664566403,,2.943301916207064,27103.0,-1.9,-0.6488269794721391,7666.0,0.9683097502621196,0.43290039828727256,,3.5032048212184863,27387.0,0.4,0.9249705188679291,7777.0,0.7957560521856477,-0.9540330082239423,,-3.5189247015023684
1993-05-29,1993,,,40.0,29.0,,26.0,,,,,,,,,,,National,29.0,28037.0,2.1,2.373388834118373,7879.0,0.9649121719802256,2.714535942614882,,3.8970456500060813,27460.0,1.3,0.6967363403006965,7744.0,1.3215859520167905,1.7497812664566403,,2.943301916207064,27103.0,-1.9,-0.6488269794721391,7666.0,0.9683097502621196,0.43290039828727256,,3.5032048212184863,27387.0,0.4,0.9249705188679291,7777.0,0.7957560521856477,-0.9540330082239423,,-3.5189247015023684
1993-07-03,1993,,,35.0,37.0,,21.0,,,,,,,,,,,National,37.0,28258.0,0.8,2.26919040208462,7919.0,1.3123358715076083,1.4022787196690922,,2.621994189060728,28037.0,2.1,2.373388834118373,7879.0,0.9649121719802256,2.714535942614882,,3.8970456500060813,27460.0,1.3,0.6967363403006965,7744.0,1.3215859520167905,1.7497812664566403,,2.943301916207064,27631.0,0.9,2.8245013396844376,7829.0,0.9717314755191442,-0.7826087602724074,,1.974758975757518
1993-07-19,1993,,,33.0,40.0,,11.0,12.0,,,,,,,,,,National,40.0,28258.0,0.8,2.26919040208462,7919.0,1.3123358715076083,1.4022787196690922,,2.621994189060728,28037.0,2.1,2.373388834118373,7879.0,0.9649121719802256,2.714535942614882,,3.8970456500060813,27460.0,1.3,0.6967363403006965,7744.0,1.3215859520167905,1.7497812664566403,,2.943301916207064,27631.0,0.9,2.8245013396844376,7829.0,0.9717314755191442,-0.7826087602724074,,1.974758975757518
1993-08-08,1993,,,33.0,41.0,,10.0,15.0,,,,,,,,,,National,41.0,28258.0,0.8,2.26919040208462,7919.0,1.3123358715076083,1.4022787196690922,,2.621994189060728,28037.0,2.1,2.373388834118373,7879.0,0.9649121719802256,2.714535942614882,,3.8970456500060813,27460.0,1.3,0.6967363403006965,7744.0,1.3215859520167905,1.7497812664566403,,2.943301916207064,27631.0,0.9,2.8245013396844376,7829.0,0.9717314755191442,-0.7826087602724074,,1.974758975757518
